GEO.id,GEO.id2,GEO.display-label
0500000US21001,21001,"Adair County, Kentucky"
0500000US21003,21003,"Allen County, Kentucky"
0500000US21005,21005,"Anderson County, Kentucky"
0500000US21007,21007,"Ballard County, Kentucky"
0500000US21009,21009,"Barren County, Kentucky"
0500000US21011,21011,"Bath County, Kentucky"
0500000US21013,21013,"Bell County, Kentucky"
0500000US21015,21015,"Boone County, Kentucky"
0500000US21017,21017,"Bourbon County, Kentucky"
0500000US21019,21019,"Boyd County, Kentucky"
0500000US21021,21021,"Boyle County, Kentucky"
0500000US21023,21023,"Bracken County, Kentucky"
0500000US21025,21025,"Breathitt County, Kentucky"
0500000US21027,21027,"Breckinridge County, Kentucky"
0500000US21029,21029,"Bullitt County, Kentucky"
0500000US21031,21031,"Butler County, Kentucky"
0500000US21033,21033,"Caldwell County, Kentucky"
0500000US21035,21035,"Calloway County, Kentucky"
0500000US21037,21037,"Campbell County, Kentucky"
0500000US21039,21039,"Carlisle County, Kentucky"
0500000US21041,21041,"Carroll County, Kentucky"
0500000US21043,21043,"Carter County, Kentucky"
0500000US21045,21045,"Casey County, Kentucky"
0500000US21047,21047,"Christian County, Kentucky"
0500000US21049,21049,"Clark County, Kentucky"
0500000US21051,21051,"Clay County, Kentucky"
0500000US21053,21053,"Clinton County, Kentucky"
0500000US21055,21055,"Crittenden County, Kentucky"
0500000US21057,21057,"Cumberland County, Kentucky"
0500000US21059,21059,"Daviess County, Kentucky"
0500000US21061,21061,"Edmonson County, Kentucky"
0500000US21063,21063,"Elliott County, Kentucky"
0500000US21065,21065,"Estill County, Kentucky"
0500000US21067,21067,"Fayette County, Kentucky"
0500000US21069,21069,"Fleming County, Kentucky"
0500000US21071,21071,"Floyd County, Kentucky"
0500000US21073,21073,"Franklin County, Kentucky"
0500000US21075,21075,"Fulton County, Kentucky"
0500000US21077,21077,"Gallatin County, Kentucky"
0500000US21079,21079,"Garrard County, Kentucky"
0500000US21081,21081,"Grant County, Kentucky"
0500000US21083,21083,"Graves County, Kentucky"
0500000US21085,21085,"Grayson County, Kentucky"
0500000US21087,21087,"Green County, Kentucky"
0500000US21089,21089,"Greenup County, Kentucky"
0500000US21091,21091,"Hancock County, Kentucky"
0500000US21093,21093,"Hardin County, Kentucky"
0500000US21095,21095,"Harlan County, Kentucky"
0500000US21097,21097,"Harrison County, Kentucky"
0500000US21099,21099,"Hart County, Kentucky"
0500000US21101,21101,"Henderson County, Kentucky"
0500000US21103,21103,"Henry County, Kentucky"
0500000US21105,21105,"Hickman County, Kentucky"
0500000US21107,21107,"Hopkins County, Kentucky"
0500000US21109,21109,"Jackson County, Kentucky"
0500000US21111,21111,"Jefferson County, Kentucky"
0500000US21113,21113,"Jessamine County, Kentucky"
0500000US21115,21115,"Johnson County, Kentucky"
0500000US21117,21117,"Kenton County, Kentucky"
0500000US21119,21119,"Knott County, Kentucky"
0500000US21121,21121,"Knox County, Kentucky"
0500000US21123,21123,"Larue County, Kentucky"
0500000US21125,21125,"Laurel County, Kentucky"
0500000US21127,21127,"Lawrence County, Kentucky"
0500000US21129,21129,"Lee County, Kentucky"
0500000US21131,21131,"Leslie County, Kentucky"
0500000US21133,21133,"Letcher County, Kentucky"
0500000US21135,21135,"Lewis County, Kentucky"
0500000US21137,21137,"Lincoln County, Kentucky"
0500000US21139,21139,"Livingston County, Kentucky"
0500000US21141,21141,"Logan County, Kentucky"
0500000US21143,21143,"Lyon County, Kentucky"
0500000US21145,21145,"McCracken County, Kentucky"
0500000US21147,21147,"McCreary County, Kentucky"
0500000US21149,21149,"McLean County, Kentucky"
0500000US21151,21151,"Madison County, Kentucky"
0500000US21153,21153,"Magoffin County, Kentucky"
0500000US21155,21155,"Marion County, Kentucky"
0500000US21157,21157,"Marshall County, Kentucky"
0500000US21159,21159,"Martin County, Kentucky"
0500000US21161,21161,"Mason County, Kentucky"
0500000US21163,21163,"Meade County, Kentucky"
0500000US21165,21165,"Menifee County, Kentucky"
0500000US21167,21167,"Mercer County, Kentucky"
0500000US21169,21169,"Metcalfe County, Kentucky"
0500000US21171,21171,"Monroe County, Kentucky"
0500000US21173,21173,"Montgomery County, Kentucky"
0500000US21175,21175,"Morgan County, Kentucky"
0500000US21177,21177,"Muhlenberg County, Kentucky"
0500000US21179,21179,"Nelson County, Kentucky"
0500000US21181,21181,"Nicholas County, Kentucky"
0500000US21183,21183,"Ohio County, Kentucky"
0500000US21185,21185,"Oldham County, Kentucky"
0500000US21187,21187,"Owen County, Kentucky"
0500000US21189,21189,"Owsley County, Kentucky"
0500000US21191,21191,"Pendleton County, Kentucky"
0500000US21193,21193,"Perry County, Kentucky"
0500000US21195,21195,"Pike County, Kentucky"
0500000US21197,21197,"Powell County, Kentucky"
0500000US21199,21199,"Pulaski County, Kentucky"
0500000US21201,21201,"Robertson County, Kentucky"
0500000US21203,21203,"Rockcastle County, Kentucky"
0500000US21205,21205,"Rowan County, Kentucky"
0500000US21207,21207,"Russell County, Kentucky"
0500000US21209,21209,"Scott County, Kentucky"
0500000US21211,21211,"Shelby County, Kentucky"
0500000US21213,21213,"Simpson County, Kentucky"
0500000US21215,21215,"Spencer County, Kentucky"
0500000US21217,21217,"Taylor County, Kentucky"
0500000US21219,21219,"Todd County, Kentucky"
0500000US21221,21221,"Trigg County, Kentucky"
0500000US21223,21223,"Trimble County, Kentucky"
0500000US21225,21225,"Union County, Kentucky"
0500000US21227,21227,"Warren County, Kentucky"
0500000US21229,21229,"Washington County, Kentucky"
0500000US21231,21231,"Wayne County, Kentucky"
0500000US21233,21233,"Webster County, Kentucky"
0500000US21235,21235,"Whitley County, Kentucky"
0500000US21237,21237,"Wolfe County, Kentucky"
0500000US21239,21239,"Woodford County, Kentucky"
0500000US39001,39001,"Adams County, Ohio"
0500000US39003,39003,"Allen County, Ohio"
0500000US39005,39005,"Ashland County, Ohio"
0500000US39007,39007,"Ashtabula County, Ohio"
0500000US39009,39009,"Athens County, Ohio"
0500000US39011,39011,"Auglaize County, Ohio"
0500000US39013,39013,"Belmont County, Ohio"
0500000US39015,39015,"Brown County, Ohio"
0500000US39017,39017,"Butler County, Ohio"
0500000US39019,39019,"Carroll County, Ohio"
0500000US39021,39021,"Champaign County, Ohio"
0500000US39023,39023,"Clark County, Ohio"
0500000US39025,39025,"Clermont County, Ohio"
0500000US39027,39027,"Clinton County, Ohio"
0500000US39029,39029,"Columbiana County, Ohio"
0500000US39031,39031,"Coshocton County, Ohio"
0500000US39033,39033,"Crawford County, Ohio"
0500000US39035,39035,"Cuyahoga County, Ohio"
0500000US39037,39037,"Darke County, Ohio"
0500000US39039,39039,"Defiance County, Ohio"
0500000US39041,39041,"Delaware County, Ohio"
0500000US39043,39043,"Erie County, Ohio"
0500000US39045,39045,"Fairfield County, Ohio"
0500000US39047,39047,"Fayette County, Ohio"
0500000US39049,39049,"Franklin County, Ohio"
0500000US39051,39051,"Fulton County, Ohio"
0500000US39053,39053,"Gallia County, Ohio"
0500000US39055,39055,"Geauga County, Ohio"
0500000US39057,39057,"Greene County, Ohio"
0500000US39059,39059,"Guernsey County, Ohio"
0500000US39061,39061,"Hamilton County, Ohio"
0500000US39063,39063,"Hancock County, Ohio"
0500000US39065,39065,"Hardin County, Ohio"
0500000US39067,39067,"Harrison County, Ohio"
0500000US39069,39069,"Henry County, Ohio"
0500000US39071,39071,"Highland County, Ohio"
0500000US39073,39073,"Hocking County, Ohio"
0500000US39075,39075,"Holmes County, Ohio"
0500000US39077,39077,"Huron County, Ohio"
0500000US39079,39079,"Jackson County, Ohio"
0500000US39081,39081,"Jefferson County, Ohio"
0500000US39083,39083,"Knox County, Ohio"
0500000US39085,39085,"Lake County, Ohio"
0500000US39087,39087,"Lawrence County, Ohio"
0500000US39089,39089,"Licking County, Ohio"
0500000US39091,39091,"Logan County, Ohio"
0500000US39093,39093,"Lorain County, Ohio"
0500000US39095,39095,"Lucas County, Ohio"
0500000US39097,39097,"Madison County, Ohio"
0500000US39099,39099,"Mahoning County, Ohio"
0500000US39101,39101,"Marion County, Ohio"
0500000US39103,39103,"Medina County, Ohio"
0500000US39105,39105,"Meigs County, Ohio"
0500000US39107,39107,"Mercer County, Ohio"
0500000US39109,39109,"Miami County, Ohio"
0500000US39111,39111,"Monroe County, Ohio"
0500000US39113,39113,"Montgomery County, Ohio"
0500000US39115,39115,"Morgan County, Ohio"
0500000US39117,39117,"Morrow County, Ohio"
0500000US39119,39119,"Muskingum County, Ohio"
0500000US39121,39121,"Noble County, Ohio"
0500000US39123,39123,"Ottawa County, Ohio"
0500000US39125,39125,"Paulding County, Ohio"
0500000US39127,39127,"Perry County, Ohio"
0500000US39129,39129,"Pickaway County, Ohio"
0500000US39131,39131,"Pike County, Ohio"
0500000US39133,39133,"Portage County, Ohio"
0500000US39135,39135,"Preble County, Ohio"
0500000US39137,39137,"Putnam County, Ohio"
0500000US39139,39139,"Richland County, Ohio"
0500000US39141,39141,"Ross County, Ohio"
0500000US39143,39143,"Sandusky County, Ohio"
0500000US39145,39145,"Scioto County, Ohio"
0500000US39147,39147,"Seneca County, Ohio"
0500000US39149,39149,"Shelby County, Ohio"
0500000US39151,39151,"Stark County, Ohio"
0500000US39153,39153,"Summit County, Ohio"
0500000US39155,39155,"Trumbull County, Ohio"
0500000US39157,39157,"Tuscarawas County, Ohio"
0500000US39159,39159,"Union County, Ohio"
0500000US39161,39161,"Van Wert County, Ohio"
0500000US39163,39163,"Vinton County, Ohio"
0500000US39165,39165,"Warren County, Ohio"
0500000US39167,39167,"Washington County, Ohio"
0500000US39169,39169,"Wayne County, Ohio"
0500000US39171,39171,"Williams County, Ohio"
0500000US39173,39173,"Wood County, Ohio"
0500000US39175,39175,"Wyandot County, Ohio"
0500000US42001,42001,"Adams County, Pennsylvania"
0500000US42003,42003,"Allegheny County, Pennsylvania"
0500000US42005,42005,"Armstrong County, Pennsylvania"
0500000US42007,42007,"Beaver County, Pennsylvania"
0500000US42009,42009,"Bedford County, Pennsylvania"
0500000US42011,42011,"Berks County, Pennsylvania"
0500000US42013,42013,"Blair County, Pennsylvania"
0500000US42015,42015,"Bradford County, Pennsylvania"
0500000US42017,42017,"Bucks County, Pennsylvania"
0500000US42019,42019,"Butler County, Pennsylvania"
0500000US42021,42021,"Cambria County, Pennsylvania"
0500000US42023,42023,"Cameron County, Pennsylvania"
0500000US42025,42025,"Carbon County, Pennsylvania"
0500000US42027,42027,"Centre County, Pennsylvania"
0500000US42029,42029,"Chester County, Pennsylvania"
0500000US42031,42031,"Clarion County, Pennsylvania"
0500000US42033,42033,"Clearfield County, Pennsylvania"
0500000US42035,42035,"Clinton County, Pennsylvania"
0500000US42037,42037,"Columbia County, Pennsylvania"
0500000US42039,42039,"Crawford County, Pennsylvania"
0500000US42041,42041,"Cumberland County, Pennsylvania"
0500000US42043,42043,"Dauphin County, Pennsylvania"
0500000US42045,42045,"Delaware County, Pennsylvania"
0500000US42047,42047,"Elk County, Pennsylvania"
0500000US42049,42049,"Erie County, Pennsylvania"
0500000US42051,42051,"Fayette County, Pennsylvania"
0500000US42053,42053,"Forest County, Pennsylvania"
0500000US42055,42055,"Franklin County, Pennsylvania"
0500000US42057,42057,"Fulton County, Pennsylvania"
0500000US42059,42059,"Greene County, Pennsylvania"
0500000US42061,42061,"Huntingdon County, Pennsylvania"
0500000US42063,42063,"Indiana County, Pennsylvania"
0500000US42065,42065,"Jefferson County, Pennsylvania"
0500000US42067,42067,"Juniata County, Pennsylvania"
0500000US42069,42069,"Lackawanna County, Pennsylvania"
0500000US42071,42071,"Lancaster County, Pennsylvania"
0500000US42073,42073,"Lawrence County, Pennsylvania"
0500000US42075,42075,"Lebanon County, Pennsylvania"
0500000US42077,42077,"Lehigh County, Pennsylvania"
0500000US42079,42079,"Luzerne County, Pennsylvania"
0500000US42081,42081,"Lycoming County, Pennsylvania"
0500000US42083,42083,"McKean County, Pennsylvania"
0500000US42085,42085,"Mercer County, Pennsylvania"
0500000US42087,42087,"Mifflin County, Pennsylvania"
0500000US42089,42089,"Monroe County, Pennsylvania"
0500000US42091,42091,"Montgomery County, Pennsylvania"
0500000US42093,42093,"Montour County, Pennsylvania"
0500000US42095,42095,"Northampton County, Pennsylvania"
0500000US42097,42097,"Northumberland County, Pennsylvania"
0500000US42099,42099,"Perry County, Pennsylvania"
0500000US42101,42101,"Philadelphia County, Pennsylvania"
0500000US42103,42103,"Pike County, Pennsylvania"
0500000US42105,42105,"Potter County, Pennsylvania"
0500000US42107,42107,"Schuylkill County, Pennsylvania"
0500000US42109,42109,"Snyder County, Pennsylvania"
0500000US42111,42111,"Somerset County, Pennsylvania"
0500000US42113,42113,"Sullivan County, Pennsylvania"
